"btn","btn 2","btn 3","btn 4","btn 5","btn 6","btn 7","btn 8","btn 9","btn 10","btn 11","btn 12","btn 13","btn 14","btn 15","btn 16","btn 17","btn 18","btn 19","btn 20","btn 21","btn 22","btn 23","btn 24","btn 25","btn 26","btn 27","btn 28","btn 29","btn 30","btn 31"
"Acute Coronary Syndrome (ACS)","Follow-up appointments","Primary medical practitioner","Cardiologist","Referrals and consults","Community-based or inpatient cardiac rehabilitation program","Nutritional counseling for diet modification (e.g., low sodium, low fat)","Palliative care or end of life support for advanced heart disease","Smoking cessation counseling","Patient Education","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Medication adherence","Physical activity","Proper wound care, if post surgery (e.g., keeping wound clean, dressing wound and washing of hands when changing dressings) and notifying medical practitioner for signs of infections (e.g., wound area is more red or painful or warm to touch, blood, pus, or other fluid coming from the wound area, presence of fever, chills or muscle aches)","Recognizing acute cardiac symptoms and appropriate actions","Recognizing signs of depression and seeking emotional support","Secondary prevention methods","Discharge medications","Ace inhibitor","Anticoagulant","Antihypertensive","Beta blocker","Statin","","","","","","","",""
"Acute kidney failure","Follow-up appointments","Primary medical practitioner","Nephrologist","Referrals and consults","Nutrition consult","Smoking cessation counseling","Avoidance of nephrotoxins and adherence to treatment for conditions that contributed to kidney disease (e.g., hypertension, heart disease, high blood sugar)","Elimination or reduction of alcohol intake, if indicated","Patient Education","Following specific diet recommendations (including fluid intake) as instructed by medical practitioner","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Limiting over the counter medications containing sodium bicarbonate or sodium carbonate (e.g., laxatives, stomach medicine) and avoiding overuse of nonsteroidal anti-inflammatory drugs","Medication adherence","Monitoring sodium intake, if indicated","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Discharge medications","Recognizing risk factors for developing chronic kidney failure and appropriate actions for follow up care (e.g., kidney function tests)","When to call medical practitioner when symptoms return or when blood sugar or blood pressure level is not within range recommended by medical practitioner","When to seek emergency care (e.g., sudden chest pain, trouble breathing)","Aldosterone Antagonists","Anti-hypertensive","Calcimimetics","Diuretics","Erythropoiesis-stimulating agent","Phosphate binders","","","",""
"Alcohol Dependence","Follow-up appointments","Primary medical practitioner","Behavioral health practitioners","Referrals and consults","Consider palliative care or end of life support for advanced condition","Community support programs (e.g., Alcoholics Anonymous, Narcotics Anonymous)","Individual, group, or family counseling","Medication-assisted treatment","Patient Education","Sober living facility or transitional housing","Smoking cessation counseling","Activity restrictions (e.g., not driving or operating machinery) as recommended by medical practitioner or pharmacist, especially when taking sedatives","Alcohol use disorder, dependence, and withdrawal symptoms","Avoidance of tobacco, excessive alcohol, and illicit drug use","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Community based resources and treatment options (e.g.,medication management, cognitive behavioral therapy, motivational enhancement therapy, peer recovery coaching, twelve step meetings like Alcoholics Anonymous (AA) or Narcotics Anonymous (NA), non-twelve step support group meetings, or peer-to-peer guidance, sober living facility, transitional housing, residential treatment, SAMHSAs National Helpline))","Discharge medications","Medication adherence","Alcohol use disorder, dependence, and withdrawal symptoms","Recognizing signs of depression or anxiety and seeking emotional support","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to call medical practitioner for new or worsening symptoms (e.g., severe shakiness, hallucinations, confusion, extreme drowsiness, increasing upper abdominal pain, uncontrolled vomiting)","When to seek emergency care (e.g., convulsion, difficulty breathing, chest pain, fast heart beat, heavy bleeding or vomiting blood, very drowsy or trouble awakening, fainting or loss of consciousness, thinking about hurting yourself or someone)","Acamprosate","Antiadrenergic agents","Anticonvulsants","Antidepressants","Antipsychotics","Benzodiazepines (Diazepam, Lorazepam)","Disulfiram"
"Arrhythmia, atrial","Follow-up appointments","Primary medical practitioner","Cardiologist","Referrals and consults","Smoking cessation counseling","Avoidance of tobacco, excessive alcohol, and illicit drug use","Managing ICD or pacemaker, if indicated (e.g., following precautions such as using caution with security devices, avoiding magnetic resonance image (MRI) scans, taking antibiotics before dental or surgical procedures, avoiding certain activities)","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Patient Education","Limiting intake of coffee, tea, cola, and over the counter meds with caffeine","Managing blood thinner medication, if indicated (blood tests to monitor drug level, preventing cuts, notifying medical practitioner for bleeding or bruising)","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Taking pulse and keeping record","When to call medical practitioner for new or worsening symptoms (e.g., heart is beating too fast or slow, skipping beats or heart rate is more than 110 beats per minute, numbness in arm or hand on the same side if ICD/pacemaker inserted, signs of infection at surgical wound if indicated)","When to seek emergency care (e.g., chest pain or discomfort in back, neck, jaw, stomach, or arm, shortness of breath, lightheadedness or a sudden cold sweat, feeling very tired, faint, or sick to your stomach, nausea, vomiting)","Discharge medications","Antiarrhythmic","Anticoagulant","Antiplatelet","Digoxin","","","","","","","","",""
"Cellulitis","Follow-up appointments","Primary medical practitioner","Wound care Specialist","Referrals and consults","Home care for ongoing skilled needs","Smoking cessation counseling","Activity restrictions (e.g., not driving or operating machinery) as recommended by medical practitioner or pharmacist, especially when taking pain medicines or muscle relaxants","Care of the affected extremity (e.g., keeping the infected area clean, raising the infected area above the level of the heart to help decrease swelling)","Patient Education","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Recognizing factors or conditions that increase risk for infection and worsening symptoms (e.g., prolonged immobility, malnutrition, etc.)","Smoking cessation, if indicated","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to call medical practitioner for new or worsening symptoms (vomiting, shaking chills, fever, difficulty or pain when moving joints above or below the infected area, increased redness, swelling, or drainage of pus from the infected area)","Analgesic","Discharge medications","Anti-infective","","","","","","","","","","","",""
"COPD","Follow-up appointments","Primary medical practitioner","Pulmonologist","Referrals and consults","Enroll patient in call back program, if available","Palliative care or end of life support for advanced COPD","Pulmonary rehab program","Refer patient to a medical home, disease management program, or case management program, if appropriate and available","Patient Education","Nutritional counseling or supplementation, if severely overweight or malnourished","Smoking cessation counseling","Avoidance of air pollutants, including a smoking cessation program, if indicated","Compliance with follow-up    care","Correct use of inhalers","Energy conservation and breathing exercises","Following instructions for oxygen therapy, if appropriate for chronic respiratory failure","Discharge medications","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Medication adherence","Pulmonary rehabilitation","Recognizing signs of depression or anxiety and seeking emotional support from medical practitioner and community resources (e.g., Better Breathing Support Groups)","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to call medical practitioner for new or worsening symptoms (e.g., chest pain when taking breaths, fever higher than 101.5 F (38.6 C), coughing up thick or blood-stained mucus, increased shortness of breath)","When to seek emergency care (e.g., trouble talking or walking because of shortness of breath, bluish or gray colored lips or fingernails, trouble breathing that does not get easier with medicine, fast breathing or trouble catching breath, feeling like you are going to die, chest discomfort (pressure, fullness, squeezing or pain) that lasts more than a few minutes or goes away and comes back or chest discomfort that goes to your arms, neck, jaw or back)","Anticholinergics","Beta-Agonists","Inhaled glucocorticosteroids","Mucolytic Agents","Oral glucocorticosteroids (prednisone methylprednisone)","Phosphodiesterase -4 Inhibitors"
"COVID-19","Follow-up appointments","Primary medical practitioner","Infectious disease specialist","Referrals and consults","Pulmonologist","Consider palliative care or end of life support for advanced illness","Medical home or home care for ongoing skilled needs","Nutritional counseling or supplementation, if severely overweight or malnourished","Patient Education","Smoking cessation counseling","Breathing exercises (e.g., incentive spirometry, rhythmic inhalation, coughing)","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Limiting alcohol intake and drinking liquids as directed","Following instructions for oxygen therapy if appropriate for chronic respiratory failure","Following medical practitioner recommendations for transmission-based precautions (self-isolating in home and limiting contact with others to avoid spreading the virus) and when self-isolation can be eliminated depending upon symptoms, immune status and repeated testing","Knowledge of lingering COVID-19 symptoms (loss of taste and smell, nausea, or tiredness)","Discharge medications","Medication adherence","Prevention measures, if immunocompromised (e.g., wearing a mask, staying 6ft apart from others outside not in living area, avoidance of crowds and poorly ventilated indoor spaces)","Recognizing signs of depression or anxiety and seeking emotional support","Smoking cessation program, if indicated","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to seek emergency care (e.g., difficulty in breathing, chest pressure or pain, confusion, seizures, weakness or numbness of face or limbs, bluish lips or face, swelling of face or arms, fever)","Analgesic","Anti-infective or anti-viral or anti-fungal","","","","",""
"Gastrointestinal bleeding","Follow-up appointments","Primary medical practitioner","Gastroenterologist","Referrals and consults","Home care for ongoing skilled needs","Smoking cessation counseling","Anticoagulation management, if indicated","Avoidance of foods that may cause gastrointestinal irritation","Patient Education","Avoidance or caution when using nonsteroidal anti-inflammatory medications or aspirin","Elimination or reduction of alcohol intake if indicated","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Medication adherence","Smoking cessation program, if indicated","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to seek emergency medical care (e.g., bright red blood in vomit that looks like coffee grounds, bowel movement with bright red blood, fainting)","Discharge medications","Analgesic","Anticoagulant","","","","","","","","","","",""
"Heart failure","Follow-up appointments","Primary medical practitioner","Cardiologist","Referrals and consults","Cardiac rehab program","Enroll patient in call back program, if available","Nutritional counseling for diet modification (e.g., low sodium, low fat)","Palliative care or end of life support for advanced heart failure","Patient Education","Refer patient to a medical home, disease management program, or case management program, if appropriate and available","Smoking cessation counseling","Avoidance of tobacco, excessive alcohol, illicit drug, and nonsteroidal anti-inflammatory drug (NSAID) use","Energy conservation and breathing exercises","Fluid restriction, if ordered","Following instructions for oxygen therapy if appropriate for chronic respiratory failure","Following specific diet recommendations and maintaining a specific body weight","Discharge medications","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Maintaining blood pressure within target range","Limiting salt (sodium) intake","Following medical practitioner recommendations for exercise and recognizing activities such as walking or gardening may be helpful","Knowledge of self-management and written action plan that identifies HF triggers and management of worsening symptoms (e.g., diuretic regimen, fluid restriction for volume overload)","Performing daily weights and reporting a gain of > 2 lbs/day to medical practitioner","Recognizing signs of depression or anxiety and seeking emotional support from medical practitioner and community resources (e.g., Together in HF from the American Association of HF Nurses, American Heart Association, and the American Heart Failure Society of America","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to call medical practitioner for new or worsening symptoms (sudden weight gain of more than 2 pounds in 1 day or 5 pounds in 1 week, or weight gain parameters from medical practitioner, trouble breathing at rest, new or increased swelling of your legs or ankles, swelling or pain in your abdomen, breathing trouble at night, frequent coughing that doesn't go away)","When to seek emergency care (e.g. severe shortness of breath, severe chest pain that does not resolve with rest or nitroglycerine, pink, foamy mucus with cough and shortness of breath, rapid or irregular heartbeat, passing out or fainting, etc.)","Aldosterone Antagonists","Angiotensin-Converting Enzyme (ACE)"
"Osteomyelitis","Follow-up appointments","Primary medical practitioner","Orthopedic surgeon","Referrals and consults","Home care for ongoing skilled needs","Smoking cessation counseling","Activity restrictions (e.g., not driving or operating machinery) as recommended by medical practitioner or pharmacist, especially when taking pain medicines or muscle relaxants","Care of the affected extremity (e.g., keeping the area free from injury, use of a splint, sling, or brace as directed by medical practitioner)","Patient Education","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Proper care of catheter site, if indicated (e.g., keeping site clean and dry, monitoring for infection)","Proper wound care, if wound present (e.g., keeping wound clean, dressing wound and washing of hands when changing dressings, etc.)","Recognizing factors or conditions that increase risk for infection and worsening symptoms (e.g., prolonged immobility, malnutrition, etc.)","Smoking cessation, if indicated","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Discharge medications","When to call medical practitioner for new or worsening symptoms (increasing pain, swelling, warmth, redness or drainage from the infected area, more pain around the infected area, fever)","Analgesic","Antifungal","Anti-infective","","","","","","","","",""
